,clients,commits,deploy,drops,duration,finished,location,metric,pid,quorum,replica,runid,started,throughput,version
97,30,5010,virginia,0,932.980142ms,2018-08-24 20:49:32.313517+00:00,virginia,server,78,5,alia-virginia-78,156,2018-08-24 20:49:31.380537+00:00,5369.889212497301,0.3.6
98,11,5005,virginia,0,1.026121176s,2018-08-24 17:23:48.543615+00:00,virginia,server,78,3,alia-virginia-78,20,2018-08-24 17:23:47.517490+00:00,4877.591572089338,0.3.6
99,14,5012,virginia,0,1.24202717s,2018-08-24 20:30:15.331961+00:00,virginia,server,78,5,alia-virginia-78,140,2018-08-24 20:30:14.089934+00:00,4035.338453988893,0.3.6
100,15,5010,virginia,0,1.069842303s,2018-08-24 17:43:07.830296+00:00,virginia,server,78,5,alia-virginia-78,36,2018-08-24 17:43:06.760454+00:00,4682.933163094412,0.3.6
101,33,5016,virginia,0,837.767239ms,2018-08-24 20:02:26.357625+00:00,virginia,server,78,3,alia-virginia-78,117,2018-08-24 20:02:25.519858+00:00,5987.343221951891,0.3.6
102,40,5040,virginia,0,697.097198ms,2018-08-24 18:15:20.185853+00:00,virginia,server,78,3,alia-virginia-78,61,2018-08-24 18:15:19.488750+00:00,7229.981722003708,0.3.6
103,7,3500,virginia,0,1.233028613s,2018-08-24 17:11:13.910269+00:00,virginia,server,78,5,alia-virginia-78,16,2018-08-24 17:11:12.677240+00:00,2838.539157241763,0.3.6
104,39,5031,virginia,0,843.996514ms,2018-08-25 00:51:49.587328+00:00,virginia,server,78,5,alia-virginia-78,249,2018-08-25 00:51:48.743332+00:00,5960.925094531848,0.3.6
105,34,5032,virginia,0,1.037923636s,2018-08-24 20:54:22.265814+00:00,virginia,server,78,5,alia-virginia-78,160,2018-08-24 20:54:21.227891+00:00,4848.1408703559,0.3.6
106,20,5020,virginia,0,1.324690793s,2018-08-24 17:49:09.745661+00:00,virginia,server,78,5,alia-virginia-78,41,2018-08-24 17:49:08.420970+00:00,3789.5635921431212,0.3.6
107,11,5005,virginia,0,1.36515666s,2018-08-24 20:26:38.312436+00:00,virginia,server,78,5,alia-virginia-78,137,2018-08-24 20:26:36.947280+00:00,3666.24589444555,0.3.6
108,36,5004,virginia,0,674.774646ms,2018-08-24 18:10:31.824376+00:00,virginia,server,78,3,alia-virginia-78,57,2018-08-24 18:10:31.149600+00:00,7415.809158899548,0.3.6
