,clients,commits,deploy,drops,duration,finished,location,metric,pid,quorum,replica,runid,started,throughput,version
160,36,5004,virginia,0,803.820165ms,2018-08-28 21:11:57.624060+00:00,virginia,server,78,5,alia-virginia-78,414,2018-08-28 21:11:56.820240+00:00,6225.2730372844035,0.4
161,14,5012,virginia,0,722.616272ms,2018-08-27 17:57:01.438688+00:00,virginia,server,78,3,alia-virginia-78,98,2018-08-27 17:57:00.716071+00:00,6935.908025054825,0.4
162,35,5005,virginia,0,652.051121ms,2018-08-27 17:28:33.279217+00:00,virginia,server,78,5,alia-virginia-78,77,2018-08-27 17:28:32.627166+00:00,7675.778537615612,0.4
163,4,2000,virginia,0,749.176813ms,2018-08-28 20:37:44.684499+00:00,virginia,server,78,5,alia-virginia-78,382,2018-08-28 20:37:43.935322+00:00,2669.596769808197,0.4
164,18,5004,virginia,0,856.767898ms,2018-08-28 16:57:44.515960+00:00,virginia,server,78,5,alia-virginia-78,228,2018-08-28 16:57:43.659190+00:00,5840.554964397137,0.4
165,30,5010,virginia,0,710.332315ms,2018-08-27 19:07:29.959510+00:00,virginia,server,78,5,alia-virginia-78,156,2018-08-27 19:07:29.249180+00:00,7053.036859233976,0.4
166,38,5016,virginia,0,631.688485ms,2018-08-28 18:42:54.780721+00:00,virginia,server,78,3,alia-virginia-78,290,2018-08-28 18:42:54.149030+00:00,7940.622821389566,0.4
167,20,5020,virginia,0,565.349515ms,2018-08-27 16:19:46.341447+00:00,virginia,server,78,3,alia-virginia-78,20,2018-08-27 16:19:45.776098+00:00,8879.462822215388,0.4
168,14,5012,virginia,0,791.739089ms,2018-08-27 18:47:46.389868+00:00,virginia,server,78,5,alia-virginia-78,140,2018-08-27 18:47:45.598129+00:00,6330.3682610016995,0.4
169,34,5032,virginia,0,601.323823ms,2018-08-28 18:38:37.817851+00:00,virginia,server,78,3,alia-virginia-78,286,2018-08-28 18:38:37.216528+00:00,8368.20330000463,0.4
170,36,5004,virginia,0,538.56596ms,2018-08-27 16:39:02.407525+00:00,virginia,server,78,3,alia-virginia-78,36,2018-08-27 16:39:01.868959+00:00,9291.341027197486,0.4
171,17,5015,virginia,0,750.73398ms,2018-08-28 18:20:24.841833+00:00,virginia,server,78,3,alia-virginia-78,269,2018-08-28 18:20:24.091099+00:00,6680.1292250019105,0.4
172,33,5016,virginia,0,514.54487ms,2018-08-27 18:19:57.272859+00:00,virginia,server,78,3,alia-virginia-78,117,2018-08-27 18:19:56.758314+00:00,9748.420968612512,0.4
173,24,5016,virginia,0,851.907288ms,2018-08-28 20:59:06.974220+00:00,virginia,server,78,5,alia-virginia-78,402,2018-08-28 20:59:06.122313+00:00,5887.964653731193,0.4
174,16,5008,virginia,0,844.871672ms,2018-08-28 20:50:33.910336+00:00,virginia,server,78,5,alia-virginia-78,394,2018-08-28 20:50:33.065465+00:00,5927.527417441924,0.4
175,19,5016,virginia,0,703.344572ms,2018-08-27 17:09:14.690852+00:00,virginia,server,78,5,alia-virginia-78,61,2018-08-27 17:09:13.987507+00:00,7131.639596985473,0.4
176,16,5008,virginia,0,598.451958ms,2018-08-27 16:14:58.082834+00:00,virginia,server,78,3,alia-virginia-78,16,2018-08-27 16:14:57.484382+00:00,8368.257356424258,0.4
177,39,5031,virginia,0,766.744092ms,2018-08-28 17:20:10.599413+00:00,virginia,server,78,5,alia-virginia-78,249,2018-08-28 17:20:09.832669+00:00,6561.511268873265,0.4
178,34,5032,virginia,0,607.137091ms,2018-08-27 19:12:08.535979+00:00,virginia,server,78,5,alia-virginia-78,160,2018-08-27 19:12:07.928842+00:00,8288.078713346142,0.4
179,41,5002,virginia,0,519.997983ms,2018-08-27 16:45:04.029385+00:00,virginia,server,78,3,alia-virginia-78,41,2018-08-27 16:45:03.509387+00:00,9619.268080891768,0.4
180,11,5005,virginia,0,889.406988ms,2018-08-27 18:44:10.093374+00:00,virginia,server,78,5,alia-virginia-78,137,2018-08-27 18:44:09.203967+00:00,5627.345037230582,0.4
181,15,5010,virginia,0,769.578152ms,2018-08-27 17:04:26.701666+00:00,virginia,server,78,5,alia-virginia-78,57,2018-08-27 17:04:25.932088+00:00,6510.060072495405,0.4
182,40,5040,virginia,0,590.13737ms,2018-08-28 16:36:20.306146+00:00,virginia,server,78,3,alia-virginia-78,208,2018-08-28 16:36:19.716009+00:00,8540.384419309015,0.4
183,37,5032,virginia,0,497.169704ms,2018-08-27 18:24:45.854699+00:00,virginia,server,78,3,alia-virginia-78,121,2018-08-27 18:24:45.357529+00:00,10121.292507397031,0.4
184,31,5022,virginia,0,634.135816ms,2018-08-28 16:26:45.037427+00:00,virginia,server,78,3,alia-virginia-78,199,2018-08-28 16:26:44.403291+00:00,7919.439137940129,0.4
185,8,4000,virginia,0,791.897573ms,2018-08-28 16:02:11.730290+00:00,virginia,server,78,3,alia-virginia-78,176,2018-08-28 16:02:10.938392+00:00,5051.1583017567855,0.4
186,10,5000,virginia,0,849.590516ms,2018-08-27 17:52:12.929987+00:00,virginia,server,78,3,alia-virginia-78,94,2018-08-27 17:52:12.080396+00:00,5885.18810631356,0.4
